airport	tzone
Lansdowne Airport	America/New_York
Moton Field Municipal Airport	America/Chicago
Schaumburg Regional	America/Chicago
Randall Airport	America/New_York
Jekyll Island Airport	America/New_York
Elizabethton Municipal Airport	America/New_York
Williams County Airport	America/New_York
Finger Lakes Regional Airport	America/New_York
Shoestring Aviation Airfield	America/New_York
Jefferson County Intl	America/Los_Angeles
Harford County Airport	America/New_York
Galt Field Airport	America/Chicago
Port Bucyrus-Crawford County Airport	America/New_York
Jackson County Airport	America/New_York
Martin Campbell Field Airport	America/New_York
Mansfield Municipal	America/New_York
Frazier Lake Airpark	America/Vancouver
Clow International Airport	America/Chicago
Kent State Airport	America/New_York
Grand Canyon West Airport	America/Phoenix
Effingham Memorial Airport	America/Chicago
Fortman Airport	America/New_York
Point Roberts Airpark	America/Los_Angeles
Clarke CO	America/Chicago
Lowell City Airport	America/New_York
Suwannee County Airport	America/New_York
Forest Lake Airport	America/Chicago
Grove City Airport	America/New_York
Mark Anton Airport	America/New_York
Plum Island Airport	America/New_York
Jefferson County Airpark	America/New_York
Somerset County Airport	America/New_York
Shelby County Airport	America/Chicago
Quincy Municipal Airport	America/New_York
Atmautluak Airport	America/Anchorage
Heber City Municipal Airport	America/Denver
Lynden Airport	America/Los_Angeles
Ephraim-Gibraltar Airport	America/Chicago
Wadsworth Municipal	America/New_York
Ashland County Airport	America/New_York
Ridgeland Airport	America/New_York
Put-in-Bay Airport	America/New_York
Perry-Foley Airport	America/New_York
Braceville Airport	America/New_York
Cherokee County Airport	America/New_York
Gilmer County Airport	America/New_York
Chemehuevi Valley	America/Los_Angeles
Polk County Airport - Cornelius Moore Field	America/New_York
Clayton County Tara Field	America/New_York
Isbell Field Airport	America/Chicago
Robertson Field	America/New_York
Pittsburgh-Monroeville Airport	America/New_York
Hamburg Inc Airport	America/New_York
Youngstown Elser Metro Airport	America/New_York
Putnam County Airport	America/New_York
Dell Flight Strip	America/Denver
Madison GA Municipal Airport	America/New_York
DeFuniak Springs Airport	America/Chicago
Fernandina Beach Municipal Airport	America/New_York
Packwood	America/Los_Angeles
East Troy Municipal Airport	America/Chicago
Saratoga County Airport	America/New_York
Ocean Isle Beach Airport	America/New_York
Griffin-Spalding County Airport	America/New_York
Saluda County	America/New_York
Tok Junction Airport	America/Anchorage
Big Timber Airport	America/Denver
Florence	America/Los_Angeles
Welke Airport	America/New_York
Cairo-Grady County Airport	America/New_York
Spring Hill Airport	America/New_York
Foster Field	America/Chicago
Germack Airport	America/New_York
Spitfire Aerodrome	America/New_York
Garland Airport	America/New_York
Richland Airport	America/Chicago
Bamberg County Airport	America/New_York
Covington Municipal Airport	America/New_York
Barwick Lafayette Airport	America/New_York
Rock Airport	America/New_York
Phoenix Regional Airport	America/Phoenix
Colorado Springs East	America/Denver
Apalachicola Regional Airport	America/New_York
Andrau Airport	America/Chicago
Lehigh Valley Intl	America/New_York
Abilene Rgnl	America/Chicago
Ambler Airport	America/Anchorage
Albuquerque International Sunport	America/Denver
Aberdeen Regional Airport	America/Chicago
Southwest Georgia Regional Airport	America/New_York
Jimmy Carter Regional	America/New_York
Nantucket Mem	America/New_York
Waco Rgnl	America/Chicago
Arcata	America/Los_Angeles
Atlantic City Intl	America/New_York
Adak Airport	America/Anchorage
Ardmore Muni	America/Chicago
Kodiak	America/Anchorage
Addison	America/Chicago
Andrews Afb	America/New_York
Allakaket Airport	America/Anchorage
Alexandria Intl	America/Chicago
Kake Airport	America/Anchorage
Fort Worth Alliance Airport	America/Chicago
Allegheny County Airport	America/New_York
Angoon Seaplane Base	America/Anchorage
Augusta Rgnl At Bush Fld	America/New_York
Athens Ben Epps Airport	America/New_York
Alliance Municipal Airport	America/Denver
Municipal Airport	America/New_York
Wainwright Airport	America/Anchorage
Lee C Fine Memorial Airport	America/Chicago
Atka Airport	America/Anchorage
Akron Fulton Intl	America/New_York
Akiak Airport	America/Anchorage
Akhiok Airport	America/Anchorage
King Salmon	America/Anchorage
Anaktuvuk Pass Airport	America/Anchorage
Albany Intl	America/New_York
Alice Intl	America/Chicago
Alamogordo White Sands Regional Airport	America/Denver
Waterloo Regional Airport	America/Chicago
San Luis Valley Regional Airport	America/Denver
Walla Walla Regional Airport	America/Los_Angeles
Alexandria	America/New_York
Alitak Seaplane Base	America/Anchorage
Rick Husband Amarillo Intl	America/Chicago
Anniston Metro	America/Chicago
Ted Stevens Anchorage Intl	America/Anchorage
Anderson Rgnl	America/New_York
Aniak Airport	America/Anchorage
Annette Island	America/Anchorage
Lee Airport	America/New_York
Tri-State Steuben County Airport	America/New_York
Anvik Airport	America/Anchorage
Lima Allen County Airport	America/New_York
Altoona Blair Co	America/New_York
Amook Bay Seaplane Base	America/Anchorage
Centennial	America/Denver
Napa County Airport	America/Los_Angeles
Naples Muni	America/New_York
Phillips Aaf	America/New_York
Alpena County Regional Airport	America/New_York
Klawock Seaplane Base	America/Anchorage
Acadiana Rgnl	America/Chicago
Ann Arbor Municipal Airport	America/New_York
Arctic Village Airport	America/Anchorage
Watertown Intl	America/New_York
Lakeland	America/Chicago
Aspen Pitkin County Sardy Field	America/Denver
Boire Field Airport	America/New_York
Astoria Regional Airport	America/Los_Angeles
Atqasuk Edward Burnell Sr Memorial Airport	America/Anchorage
Hartsfield Jackson Atlanta Intl	America/New_York
Camp Mabry Austin City	America/Chicago
Appleton	America/Chicago
Watertown Regional Airport	America/Chicago
Augusta State	America/New_York
Alakanuk Airport	America/Anchorage
Auburn University Regional	America/Chicago
Austin Bergstrom Intl	America/Chicago
Wausau Downtown Airport	America/Chicago
Asheville Regional Airport	America/New_York
Executive	America/New_York
Wilkes Barre Scranton Intl	America/New_York
Marana Regional	America/Phoenix
Avalon	America/Los_Angeles
Phoenix-Mesa Gateway	America/Phoenix
Kalamazoo	America/New_York
Beale Afb	America/Los_Angeles
Barksdale Afb	America/Chicago
Barnes Municipal	America/New_York
Wings Field	America/New_York
Bryce Canyon	America/Denver
Boca Raton	America/New_York
Baudette Intl	America/Chicago
Bradley Intl	America/New_York
Igor I Sikorsky Mem	America/New_York
Beech Factory Airport	America/Chicago
Laurence G Hanscom Fld	America/New_York
Southwest Michigan Regional Airport	America/New_York
Bethel	America/Anchorage
Bradford Regional Airport	America/New_York
Western Nebraska Regional Airport	America/Denver
Boeing Fld King Co Intl	America/Los_Angeles
Meadows Fld	America/Los_Angeles
Mobile Downtown	America/Chicago
Beaver Falls	America/New_York
Beaufort	America/New_York
Decatur County Industrial Air Park	America/New_York
Greater Binghamton Edwin A Link Fld	America/New_York
Bangor Intl	America/New_York
Hancock County - Bar Harbor	America/New_York
Birmingham Intl	America/Chicago
